Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Other Kharif pulses,2009,Kharif     ,Karnataka,114169.0,82364,1321.0,17789813.58,19408.73,0.608,25.599,35.271,17.215
Potato,2009,Kharif     ,Karnataka,28305.0,175087,1321.0,4410485.1,4811.85,6.493,25.599,35.271,17.215
Potato,2009,Rabi       ,Karnataka,5890.0,86967,1321.0,917779.8,1001.3,15.234,25.599,35.271,17.215
Potato,2009,Summer     ,Karnataka,2913.0,46821,1321.0,453903.66,495.21,15.962,25.599,35.271,17.215
Ragi,2009,Kharif     ,Karnataka,728828.0,1136495,1321.0,113565979.0,123900.76,1.337,25.599,35.271,17.215
Ragi,2009,Rabi       ,Karnataka,27562.0,44924,1321.0,4294710.84,4685.54,1.834,25.599,35.271,17.215
Ragi,2009,Summer     ,Karnataka,7984.0,14970,1321.0,1244066.88,1357.28,1.778,25.599,35.271,17.215
Rapeseed &Mustard,2009,Rabi       ,Karnataka,5116.0,1493,1321.0,797175.12,869.72,0.29,25.599,35.271,17.215
Rice,2009,Kharif     ,Karnataka,1102221.0,2734838,1321.0,171748076.2,187377.57,2.398,25.599,35.271,17.215
Rice,2009,Rabi       ,Karnataka,37747.0,84636,1321.0,5881737.54,6416.99,2.417,25.599,35.271,17.215
Rice,2009,Summer     ,Karnataka,346510.0,1057933,1321.0,53993188.2,58906.7,2.807,25.599,35.271,17.215
Safflower,2009,Rabi       ,Karnataka,67924.0,51941,1321.0,10583917.68,11547.08,0.694,25.599,35.271,17.215
Sannhamp,2009,Whole Year ,Karnataka,282.0,70,1321.0,43941.24,47.94,0.163,25.599,35.271,17.215
Sesamum,2009,Kharif     ,Karnataka,76280.0,31039,1321.0,11885949.6,12967.6,0.437,25.599,35.271,17.215
Small millets,2009,Kharif     ,Karnataka,26682.0,13089,1321.0,4157589.24,4535.94,0.49,25.599,35.271,17.215
Soyabean,2009,Kharif     ,Karnataka,183688.0,82396,1321.0,28622264.16,31226.96,0.413,25.599,35.271,17.215
Sugarcane,2009,Whole Year ,Karnataka,336521.0,32285023,1321.0,52436702.22,57208.57,94.288,25.599,35.271,17.215
Sunflower,2009,Kharif     ,Karnataka,389147.0,111835,1321.0,60636885.54,66154.99,0.36,25.599,35.271,17.215
Sunflower,2009,Rabi       ,Karnataka,376475.0,114919,1321.0,58662334.5,64000.75,0.548,25.599,35.271,17.215
Sunflower,2009,Summer     ,Karnataka,28543.0,24563,1321.0,4447570.26,4852.31,0.96,25.599,35.271,17.215
Sweet potato,2009,Whole Year ,Karnataka,2397.0,15751,1321.0,373500.54,407.49,6.937,25.599,35.271,17.215
Tapioca,2009,Whole Year ,Karnataka,881.0,8161,1321.0,137277.42,149.77,9.648,25.599,35.271,17.215
Tobacco,2009,Whole Year ,Karnataka,118168.0,90957,1321.0,18412937.76,20088.56,0.799,25.599,35.271,17.215
Turmeric,2009,Whole Year ,Karnataka,17873.0,89932,1321.0,2784970.86,3038.41,4.763,25.599,35.271,17.215
Urad,2009,Kharif     ,Karnataka,109099.0,9259,1321.0,16999806.18,18546.83,0.153,25.599,35.271,17.215
Urad,2009,Rabi       ,Karnataka,9092.0,3548,1321.0,1416715.44,1545.64,0.372,25.599,35.271,17.215
Wheat,2009,Rabi       ,Karnataka,283427.0,263877,1321.0,44163595.14,48182.59,0.919,25.599,35.271,17.215
Arecanut,2009,Whole Year ,Kerala,99190.0,116763,2821.5,15455785.8,16862.3,0.976,25.21,32.564,19.495
Banana,2009,Whole Year ,Kerala,51275.0,406242,2821.5,7989670.5,8716.75,7.836,25.21,32.564,19.495
Black pepper,2009,Whole Year ,Kerala,171489.0,42460,2821.5,26721415.98,29153.13,0.191,25.21,32.564,19.495
Cardamom,2009,Whole Year ,Kerala,41593.0,7800,2821.5,6481021.26,7070.81,0.058,25.21,32.564,19.495
Cashewnut,2009,Whole Year ,Kerala,48972.0,35818,2821.5,7630817.04,8325.24,0.483,25.21,32.564,19.495
Coconut ,2009,Whole Year ,Kerala,778618.0,5667000000,2821.5,121324256.8,132365.06,6728.865,25.21,32.564,19.495
Cotton(lint),2009,Kharif     ,Kerala,1018.0,1324,2821.5,158624.76,173.06,1.3,25.21,32.564,19.495
Garlic,2009,Whole Year ,Kerala,336.0,5712,2821.5,52355.52,57.12,17.0,25.21,32.564,19.495
Ginger,2009,Whole Year ,Kerala,5408.0,28603,2821.5,842674.56,919.36,3.402,25.21,32.564,19.495
Groundnut,2009,Kharif     ,Kerala,1340.0,992,2821.5,208798.8,227.8,0.87,25.21,32.564,19.495
Jowar,2009,Kharif     ,Kerala,2547.0,1305,2821.5,396873.54,432.99,0.668,25.21,32.564,19.495
Other Cereals,2009,Kharif     ,Kerala,226.0,176,2821.5,35215.32,38.42,0.765,25.21,32.564,19.495
Ragi,2009,Kharif     ,Kerala,293.0,236,2821.5,45655.26,49.81,0.405,25.21,32.564,19.495
Rice,2009,Autumn     ,Kerala,77249.0,192050,2821.5,12036939.18,13132.33,2.303,25.21,32.564,19.495
Rice,2009,Summer     ,Kerala,49279.0,134005,2821.5,7678653.78,8377.43,2.385,25.21,32.564,19.495
Rice,2009,Winter     ,Kerala,107485.0,272284,2821.5,16748312.7,18272.45,2.286,25.21,32.564,19.495
Sesamum,2009,Kharif     ,Kerala,608.0,206,2821.5,94738.56,103.36,0.28,25.21,32.564,19.495
Sugarcane,2009,Whole Year ,Kerala,2972.0,284970,2821.5,463097.04,505.24,50.888,25.21,32.564,19.495
Sweet potato,2009,Whole Year ,Kerala,399.0,4575,2821.5,62172.18,67.83,11.499,25.21,32.564,19.495
Tapioca,2009,Whole Year ,Kerala,74925.0,2525384,2821.5,11674813.5,12737.25,34.511,25.21,32.564,19.495
Tobacco,2009,Whole Year ,Kerala,29.0,34,2821.5,4518.78,4.93,1.17,25.21,32.564,19.495
Turmeric,2009,Whole Year ,Kerala,2438.0,6066,2821.5,379889.16,414.46,2.276,25.21,32.564,19.495
Arecanut,2009,Whole Year ,Meghalaya,13621.0,19396,2995.9,2122424.22,2315.57,1.249,19.225,26.985,12.008
Arhar/Tur,2009,Kharif     ,Meghalaya,781.0,612,2995.9,121695.42,132.77,0.79,19.225,26.985,12.008
Banana,2009,Kharif     ,Meghalaya,6802.0,78822,2995.9,1059887.64,1156.34,10.4,19.225,26.985,12.008
Black pepper,2009,Whole Year ,Meghalaya,890.0,461,2995.9,138679.8,151.3,0.506,19.225,26.985,12.008
Castor seed,2009,Kharif     ,Meghalaya,29.0,15,2995.9,4518.78,4.93,0.5,19.225,26.985,12.008
Cotton(lint),2009,Kharif     ,Meghalaya,6891.0,5491,2995.9,1073755.62,1171.47,0.82,19.225,26.985,12.008
Ginger,2009,Kharif     ,Meghalaya,9321.0,54008,2995.9,1452398.22,1584.57,6.834,19.225,26.985,12.008
Gram,2009,Rabi       ,Meghalaya,561.0,351,2995.9,87415.02,95.37,0.59,19.225,26.985,12.008
Jute,2009,Kharif     ,Meghalaya,3928.0,34792,2995.9,612060.96,667.76,6.803,19.225,26.985,12.008
Linseed,2009,Rabi       ,Meghalaya,77.0,36,2995.9,11998.14,13.09,0.47,19.225,26.985,12.008
Maize,2009,Kharif     ,Meghalaya,17209.0,26167,2995.9,2681506.38,2925.53,1.574,19.225,26.985,12.008
Masoor,2009,Rabi       ,Meghalaya,332.0,274,2995.9,51732.24,56.44,0.73,19.225,26.985,12.008
Mesta,2009,Kharif     ,Meghalaya,4154.0,18391,2995.9,647276.28,706.18,4.507,19.225,26.985,12.008
Other  Rabi pulses,2009,Rabi       ,Meghalaya,856.0,608,2995.9,133381.92,145.52,0.641,19.225,26.985,12.008
Peas & beans (Pulses),2009,Rabi       ,Meghalaya,1012.0,1384,2995.9,157689.84,172.04,1.203,19.225,26.985,12.008
Potato,2009,Whole Year ,Meghalaya,17712.0,162445,2995.9,2759883.84,3011.04,7.319,19.225,26.985,12.008
Rapeseed &Mustard,2009,Rabi       ,Meghalaya,7160.0,4872,2995.9,1115671.2,1217.2,0.596,19.225,26.985,12.008
Rice,2009,Autumn     ,Meghalaya,32560.0,41798,2995.9,5073499.2,5535.2,1.543,19.225,26.985,12.008
Rice,2009,Summer     ,Meghalaya,12777.0,46943,2995.9,1990912.14,2172.09,2.171,19.225,26.985,12.008
Rice,2009,Winter     ,Meghalaya,62825.0,115388,2995.9,9789391.5,10680.25,1.803,19.225,26.985,12.008
Sesamum,2009,Kharif     ,Meghalaya,1590.0,853,2995.9,247753.8,270.3,0.595,19.225,26.985,12.008
Small millets,2009,Kharif     ,Meghalaya,2362.0,1889,2995.9,368046.84,401.54,0.964,19.225,26.985,12.008
Sugarcane,2009,Whole Year ,Meghalaya,76.0,206,2995.9,11842.32,12.92,2.46,19.225,26.985,12.008
Sweet potato,2009,Kharif     ,Meghalaya,4398.0,14053,2995.9,685296.36,747.66,3.611,19.225,26.985,12.008
Tapioca,2009,Kharif     ,Meghalaya,4210.0,21152,2995.9,656002.2,715.7,6.02,19.225,26.985,12.008
Tobacco,2009,Rabi       ,Meghalaya,635.0,427,2995.9,98945.7,107.95,0.738,19.225,26.985,12.008
Wheat,2009,Rabi       ,Meghalaya,405.0,718,2995.9,63107.1,68.85,1.25,19.225,26.985,12.008
Arecanut,2009,Whole Year ,Tamil Nadu,5456.0,10437,928.5,850153.92,927.52,1.605,27.855,38.243,20.19
Arhar/Tur,2009,Whole Year ,Tamil Nadu,26558.0,20274,928.5,4138267.56,4514.86,0.71,27.855,38.243,20.19
Bajra,2009,Whole Year ,Tamil Nadu,54427.0,82652,928.5,8480815.14,9252.59,1.65,27.855,38.243,20.19
Banana,2009,Whole Year ,Tamil Nadu,113681.0,4887841,928.5,17713773.42,19325.77,43.52,27.855,38.243,20.19
Black pepper,2009,Whole Year ,Tamil Nadu,2790.0,643,928.5,434737.8,474.3,0.154,27.855,38.243,20.19
Cardamom,2009,Whole Year ,Tamil Nadu,3650.0,330,928.5,568743.0,620.5,0.058,27.855,38.243,20.19
Cashewnut,2009,Whole Year ,Tamil Nadu,99043.0,49550,928.5,15432880.26,16837.31,0.497,27.855,38.243,20.19
Castor seed,2009,Whole Year ,Tamil Nadu,4896.0,1521,928.5,762894.72,832.32,0.314,27.855,38.243,20.19
Coconut ,2009,Whole Year ,Tamil Nadu,400466.0,5547100000,928.5,62400612.12,68079.22,14134.659,27.855,38.243,20.19
Coriander,2009,Whole Year ,Tamil Nadu,15977.0,6315,928.5,2489536.14,2716.09,0.355,27.855,38.243,20.19
Cotton(lint),2009,Whole Year ,Tamil Nadu,104095.0,225448,928.5,16220082.9,17696.15,2.502,27.855,38.243,20.19
Dry chillies,2009,Whole Year ,Tamil Nadu,58476.0,31230,928.5,9111730.32,9940.92,0.629,27.855,38.243,20.19
Garlic,2009,Whole Year ,Tamil Nadu,330.0,1954,928.5,51420.6,56.1,4.256,27.855,38.243,20.19
Ginger,2009,Whole Year ,Tamil Nadu,864.0,13867,928.5,134628.48,146.88,16.036,27.855,38.243,20.19
Gram,2009,Whole Year ,Tamil Nadu,7432.0,4542,928.5,1158054.24,1263.44,0.523,27.855,38.243,20.19
Groundnut,2009,Whole Year ,Tamil Nadu,413011.0,895718,928.5,64355374.02,70211.87,2.12,27.855,38.243,20.19
Horse-gram,2009,Whole Year ,Tamil Nadu,47231.0,21816,928.5,7359534.42,8029.27,0.429,27.855,38.243,20.19
Jowar,2009,Whole Year ,Tamil Nadu,238476.0,221960,928.5,37159330.32,40540.92,1.288,27.855,38.243,20.19
Maize,2009,Whole Year ,Tamil Nadu,244159.0,1138126,928.5,38044855.38,41507.03,4.799,27.855,38.243,20.19
Moong(Green Gram),2009,Whole Year ,Tamil Nadu,138138.0,47673,928.5,21524663.16,23483.46,0.41,27.855,38.243,20.19
Onion,2009,Whole Year ,Tamil Nadu,31024.0,302563,928.5,4834159.68,5274.08,9.87,27.855,38.243,20.19
Potato,2009,Whole Year ,Tamil Nadu,4611.0,84683,928.5,718486.02,783.87,19.248,27.855,38.243,20.19
Ragi,2009,Whole Year ,Tamil Nadu,82335.0,160939,928.5,12829439.7,13996.95,2.345,27.855,38.243,20.19
Rapeseed &Mustard,2009,Whole Year ,Tamil Nadu,262.0,62,928.5,40824.84,44.54,0.168,27.855,38.243,20.19
Rice,2009,Kharif     ,Tamil Nadu,1845553.0,5665258,928.5,287574068.5,313744.01,3.54,27.855,38.243,20.19
Sesamum,2009,Whole Year ,Tamil Nadu,62677.0,29021,928.5,9766330.14,10655.09,0.413,27.855,38.243,20.19
Small millets,2009,Kharif     ,Tamil Nadu,33141.0,31244,928.5,5164030.62,5633.97,0.932,27.855,38.243,20.19
Sugarcane,2009,Whole Year ,Tamil Nadu,293329.0,29758209,928.5,45706524.78,49865.93,100.208,27.855,38.243,20.19
Sunflower,2009,Whole Year ,Tamil Nadu,14268.0,18975,928.5,2223239.76,2425.56,1.449,27.855,38.243,20.19
Sweet potato,2009,Whole Year ,Tamil Nadu,778.0,11381,928.5,121227.96,132.26,14.699,27.855,38.243,20.19
Tapioca,2009,Whole Year ,Tamil Nadu,118647.0,4089545,928.5,18487575.54,20169.99,35.7,27.855,38.243,20.19
Tobacco,2009,Whole Year ,Tamil Nadu,7051.0,10741,928.5,1098686.82,1198.67,1.408,27.855,38.243,20.19
Turmeric,2009,Whole Year ,Tamil Nadu,33366.0,169071,928.5,5199090.12,5672.22,5.103,27.855,38.243,20.19
Urad,2009,Whole Year ,Tamil Nadu,259722.0,98712,928.5,40469882.04,44152.74,0.392,27.855,38.243,20.19
Arecanut,2010,Kharif     ,Puducherry,60.0,78,1434.588,9966.6,14.4,1.3,28.059,32.519,24.308
Bajra,2010,Kharif     ,Puducherry,29.0,68,1434.588,4817.19,6.96,2.34,28.059,32.519,24.308
Bajra,2010,Summer     ,Puducherry,5.0,11,1434.588,830.55,1.2,2.2,28.059,32.519,24.308
Banana,2010,Kharif     ,Puducherry,266.0,6368,1434.588,44185.26,63.84,18.067,28.059,32.519,24.308
Black pepper,2010,Kharif     ,Puducherry,11.0,6,1434.588,1827.21,2.64,0.55,28.059,32.519,24.308
Cashewnut,2010,Kharif     ,Puducherry,173.0,131,1434.588,28737.03,41.52,0.713,28.059,32.519,24.308
Coconut ,2010,Whole Year ,Puducherry,2131.0,24464000,1434.588,353980.41,511.44,11567.658,28.059,32.519,24.308
Cotton(lint),2010,Summer     ,Puducherry,5.0,5,1434.588,830.55,1.2,1.0,28.059,32.519,24.308
Dry chillies,2010,Kharif     ,Puducherry,1.0,1,1434.588,166.11,0.24,1.0,28.059,32.519,24.308
Dry chillies,2010,Rabi       ,Puducherry,3.0,4,1434.588,498.33,0.72,1.33,28.059,32.519,24.308
Dry chillies,2010,Summer     ,Puducherry,2.0,2,1434.588,332.22,0.48,1.0,28.059,32.519,24.308
Groundnut,2010,Kharif     ,Puducherry,25.0,48,1434.588,4152.75,6.0,1.92,28.059,32.519,24.308
Groundnut,2010,Rabi       ,Puducherry,312.0,621,1434.588,51826.32,74.88,1.99,28.059,32.519,24.308
Groundnut,2010,Summer     ,Puducherry,79.0,147,1434.588,13122.69,18.96,1.555,28.059,32.519,24.308
Moong(Green Gram),2010,Kharif     ,Puducherry,1.0,1,1434.588,166.11,0.24,1.0,28.059,32.519,24.308
Moong(Green Gram),2010,Rabi       ,Puducherry,15.0,9,1434.588,2491.65,3.6,0.77,28.059,32.519,24.308
Moong(Green Gram),2010,Summer     ,Puducherry,1477.0,691,1434.588,245344.47,354.48,0.613,28.059,32.519,24.308
Onion,2010,Rabi       ,Puducherry,1.0,7,1434.588,166.11,0.24,7.0,28.059,32.519,24.308
Other  Rabi pulses,2010,Rabi       ,Puducherry,23.0,19,1434.588,3820.53,5.52,0.615,28.059,32.519,24.308
Other  Rabi pulses,2010,Summer     ,Puducherry,2.0,2,1434.588,332.22,0.48,1.0,28.059,32.519,24.308
Other Kharif pulses,2010,Kharif     ,Puducherry,1.0,1,1434.588,166.11,0.24,1.0,28.059,32.519,24.308
Ragi,2010,Kharif     ,Puducherry,14.0,29,1434.588,2325.54,3.36,1.575,28.059,32.519,24.308
Ragi,2010,Rabi       ,Puducherry,1.0,2,1434.588,166.11,0.24,2.0,28.059,32.519,24.308
Ragi,2010,Summer     ,Puducherry,8.0,20,1434.588,1328.88,1.92,2.5,28.059,32.519,24.308
Rice,2010,Kharif     ,Puducherry,4384.0,12602,1434.588,728226.24,1052.16,2.673,28.059,32.519,24.308
Rice,2010,Rabi       ,Puducherry,10920.0,26585,1434.588,1813921.2,2620.8,3.447,28.059,32.519,24.308
Rice,2010,Summer     ,Puducherry,4710.0,12773,1434.588,782378.1,1130.4,2.7,28.059,32.519,24.308
Sesamum,2010,Kharif     ,Puducherry,5.0,4,1434.588,830.55,1.2,0.8,28.059,32.519,24.308
Sesamum,2010,Rabi       ,Puducherry,15.0,12,1434.588,2491.65,3.6,0.8,28.059,32.519,24.308
Sesamum,2010,Summer     ,Puducherry,111.0,89,1434.588,18438.21,26.64,0.655,28.059,32.519,24.308
Sugarcane,2010,Kharif     ,Puducherry,1765.0,277683,1434.588,293184.15,423.6,115.19,28.059,32.519,24.308
Sunflower,2010,Kharif     ,Puducherry,1.0,1,1434.588,166.11,0.24,1.0,28.059,32.519,24.308
Sweet potato,2010,Kharif     ,Puducherry,1.0,8,1434.588,166.11,0.24,8.0,28.059,32.519,24.308
Tapioca,2010,Kharif     ,Puducherry,256.0,4783,1434.588,42524.16,61.44,15.8,28.059,32.519,24.308
Tapioca,2010,Rabi       ,Puducherry,3.0,57,1434.588,498.33,0.72,19.0,28.059,32.519,24.308
Turmeric,2010,Kharif     ,Puducherry,4.0,6,1434.588,664.44,0.96,1.5,28.059,32.519,24.308
Urad,2010,Kharif     ,Puducherry,22.0,17,1434.588,3654.42,5.28,0.77,28.059,32.519,24.308
Urad,2010,Rabi       ,Puducherry,189.0,206,1434.588,31394.79,45.36,1.09,28.059,32.519,24.308
Urad,2010,Summer     ,Puducherry,916.0,374,1434.588,152156.76,219.84,0.627,28.059,32.519,24.308
Arecanut,2010,Rabi       ,Assam,68947.0,68556,2578.5,11452786.17,16547.28,0.982,23.876,32.111,16.375
Arhar/Tur,2010,Kharif     ,Assam,7137.0,5098,2578.5,1185527.07,1712.88,0.71,23.876,32.111,16.375
Banana,2010,Whole Year ,Assam,47628.0,653502,2578.5,7911487.08,11430.72,13.764,23.876,32.111,16.375
Black pepper,2010,Whole Year ,Assam,3041.0,4589,2578.5,505140.51,729.84,1.612,23.876,32.111,16.375
Castor seed,2010,Kharif     ,Assam,978.0,419,2578.5,162455.58,234.72,0.428,23.876,32.111,16.375
Coconut ,2010,Whole Year ,Assam,19426.0,158565000,2578.5,3226852.86,4662.24,7185.196,23.876,32.111,16.375
Cotton(lint),2010,Kharif     ,Assam,1398.0,650,2578.5,232221.78,335.52,0.528,23.876,32.111,16.375
Dry chillies,2010,Whole Year ,Assam,18808.0,12237,2578.5,3124196.88,4513.92,0.637,23.876,32.111,16.375
Ginger,2010,Whole Year ,Assam,16386.0,112548,2578.5,2721878.46,3932.64,6.941,23.876,32.111,16.375
Gram,2010,Rabi       ,Assam,1802.0,915,2578.5,299330.22,432.48,0.49,23.876,32.111,16.375
Jute,2010,Kharif     ,Assam,62267.0,625575,2578.5,10343171.37,14944.08,10.211,23.876,32.111,16.375
Linseed,2010,Rabi       ,Assam,7125.0,3815,2578.5,1183533.75,1710.0,0.522,23.876,32.111,16.375
Maize,2010,Kharif     ,Assam,19772.0,14110,2578.5,3284326.92,4745.28,0.61,23.876,32.111,16.375
Masoor,2010,Rabi       ,Assam,23895.0,11820,2578.5,3969198.45,5734.8,0.495,23.876,32.111,16.375
Mesta,2010,Kharif     ,Assam,4970.0,25950,2578.5,825566.7,1192.8,4.909,23.876,32.111,16.375
Moong(Green Gram),2010,Rabi       ,Assam,9022.0,4243,2578.5,1498644.42,2165.28,0.452,23.876,32.111,16.375
Niger seed,2010,Kharif     ,Assam,7811.0,4020,2578.5,1297485.21,1874.64,0.528,23.876,32.111,16.375
Onion,2010,Whole Year ,Assam,6906.0,15408,2578.5,1147155.66,1657.44,2.309,23.876,32.111,16.375
Peas & beans (Pulses),2010,Rabi       ,Assam,22401.0,13365,2578.5,3721030.11,5376.24,0.605,23.876,32.111,16.375
Potato,2010,Whole Year ,Assam,85023.0,657627,2578.5,14123170.53,20405.52,7.705,23.876,32.111,16.375
Rapeseed &Mustard,2010,Rabi       ,Assam,243815.0,142661,2578.5,40500109.65,58515.6,0.529,23.876,32.111,16.375
Rice,2010,Autumn     ,Assam,307988.0,355825,2578.5,51159886.68,73917.12,1.273,23.876,32.111,16.375
Rice,2010,Summer     ,Assam,398785.0,1027575,2578.5,66242176.35,95708.4,2.342,23.876,32.111,16.375
Rice,2010,Winter     ,Assam,1830682.0,3649129,2578.5,304094587.0,439363.68,1.959,23.876,32.111,16.375
Sesamum,2010,Kharif     ,Assam,11888.0,6759,2578.5,1974715.68,2853.12,0.497,23.876,32.111,16.375
Small millets,2010,Kharif     ,Assam,5186.0,2600,2578.5,861446.46,1244.64,0.505,23.876,32.111,16.375
Sugarcane,2010,Whole Year ,Assam,29736.0,1076332,2578.5,4939446.96,7136.64,36.276,23.876,32.111,16.375
Sweet potato,2010,Whole Year ,Assam,6186.0,21378,2578.5,1027556.46,1484.64,3.413,23.876,32.111,16.375
Tapioca,2010,Whole Year ,Assam,4179.0,19922,2578.5,694173.69,1002.96,4.523,23.876,32.111,16.375
Tobacco,2010,Whole Year ,Assam,490.0,250,2578.5,81393.9,117.6,0.608,23.876,32.111,16.375
Turmeric,2010,Whole Year ,Assam,14963.0,10623,2578.5,2485503.93,3591.12,0.753,23.876,32.111,16.375
Urad,2010,Rabi       ,Assam,48796.0,27216,2578.5,8105503.56,11711.04,0.577,23.876,32.111,16.375
Wheat,2010,Rabi       ,Assam,44772.0,56216,2578.5,7437076.92,10745.28,1.197,23.876,32.111,16.375
Arecanut,2010,Whole Year ,Andhra Pradesh,438.0,195,1297.0,72756.18,105.12,0.443,27.928,37.308,20.51
Arhar/Tur,2010,Kharif     ,Andhra Pradesh,629980.0,261286,1297.0,104645977.8,151195.2,0.466,27.928,37.308,20.51
Arhar/Tur,2010,Rabi       ,Andhra Pradesh,8123.0,4101,1297.0,1349311.53,1949.52,0.483,27.928,37.308,20.51
Bajra,2010,Kharif     ,Andhra Pradesh,51338.0,84908,1297.0,8527755.18,12321.12,1.229,27.928,37.308,20.51
Bajra,2010,Rabi       ,Andhra Pradesh,15988.0,17254,1297.0,2655766.68,3837.12,1.455,27.928,37.308,20.51
Banana,2010,Whole Year ,Andhra Pradesh,58876.0,1920403,1297.0,9779892.36,14130.24,31.563,27.928,37.308,20.51
Cashewnut,2010,Whole Year ,Andhra Pradesh,138101.0,33563,1297.0,22939957.11,33144.24,0.25,27.928,37.308,20.51
Castor seed,2010,Kharif     ,Andhra Pradesh,187721.0,121143,1297.0,31182335.31,45053.04,0.527,27.928,37.308,20.51
Coconut ,2010,Whole Year ,Andhra Pradesh,103945.0,1220268000,1297.0,17266303.95,24946.8,11116.998,27.928,37.308,20.51
Coriander,2010,Whole Year ,Andhra Pradesh,20313.0,13749,1297.0,3374192.43,4875.12,0.671,27.928,37.308,20.51
Cotton(lint),2010,Kharif     ,Andhra Pradesh,1784237.0,3890277,1297.0,296379608.1,428216.88,1.98,27.928,37.308,20.51
Dry chillies,2010,Kharif     ,Andhra Pradesh,152011.0,491178,1297.0,25250547.21,36482.64,2.949,27.928,37.308,20.51
Dry chillies,2010,Rabi       ,Andhra Pradesh,43460.0,147120,1297.0,7219140.6,10430.4,3.172,27.928,37.308,20.51
Garlic,2010,Whole Year ,Andhra Pradesh,464.0,978,1297.0,77075.04,111.36,1.968,27.928,37.308,20.51
Ginger,2010,Whole Year ,Andhra Pradesh,2472.0,23054,1297.0,410623.92,593.28,8.911,27.928,37.308,20.51
Gram,2010,Rabi       ,Andhra Pradesh,583563.0,719248,1297.0,96935649.93,140055.12,1.36,27.928,37.308,20.51
Groundnut,2010,Kharif     ,Andhra Pradesh,1346582.0,886721,1297.0,223680736.0,323179.68,1.088,27.928,37.308,20.51
Groundnut,2010,Rabi       ,Andhra Pradesh,275423.0,570298,1297.0,45750514.53,66101.52,1.997,27.928,37.308,20.51
Horse-gram,2010,Kharif     ,Andhra Pradesh,6234.0,2985,1297.0,1035529.74,1496.16,0.478,27.928,37.308,20.51
Horse-gram,2010,Rabi       ,Andhra Pradesh,31431.0,13673,1297.0,5221003.41,7543.44,0.44,27.928,37.308,20.51
Jowar,2010,Kharif     ,Andhra Pradesh,114324.0,114330,1297.0,18990359.64,27437.76,1.261,27.928,37.308,20.51
Jowar,2010,Rabi       ,Andhra Pradesh,139993.0,193642,1297.0,23254237.23,33598.32,1.941,27.928,37.308,20.51
Linseed,2010,Rabi       ,Andhra Pradesh,1129.0,258,1297.0,187538.19,270.96,0.15,27.928,37.308,20.51
Maize,2010,Kharif     ,Andhra Pradesh,439530.0,1639069,1297.0,73010328.3,105487.2,3.822,27.928,37.308,20.51
Maize,2010,Rabi       ,Andhra Pradesh,303916.0,2313946,1297.0,50483486.76,72939.84,7.074,27.928,37.308,20.51
Mesta,2010,Kharif     ,Andhra Pradesh,25244.0,225961,1297.0,4193280.84,6058.56,8.89,27.928,37.308,20.51
Moong(Green Gram),2010,Kharif     ,Andhra Pradesh,261106.0,121685,1297.0,43372317.66,62665.44,0.355,27.928,37.308,20.51
Moong(Green Gram),2010,Rabi       ,Andhra Pradesh,116941.0,44241,1297.0,19425069.51,28065.84,0.463,27.928,37.308,20.51
Niger seed,2010,Kharif     ,Andhra Pradesh,10007.0,3823,1297.0,1662262.77,2401.68,0.335,27.928,37.308,20.51
Onion,2010,Kharif     ,Andhra Pradesh,25612.0,499564,1297.0,4254409.32,6146.88,17.786,27.928,37.308,20.51
Onion,2010,Rabi       ,Andhra Pradesh,17787.0,360959,1297.0,2954598.57,4268.88,18.214,27.928,37.308,20.51
Other  Rabi pulses,2010,Rabi       ,Andhra Pradesh,5791.0,5023,1297.0,961943.01,1389.84,0.64,27.928,37.308,20.51
Other Kharif pulses,2010,Kharif     ,Andhra Pradesh,2581.0,1194,1297.0,428729.91,619.44,0.82,27.928,37.308,20.51
Potato,2010,Whole Year ,Andhra Pradesh,5953.0,66316,1297.0,988852.83,1428.72,10.999,27.928,37.308,20.51
Ragi,2010,Kharif     ,Andhra Pradesh,37078.0,42556,1297.0,6159026.58,8898.72,1.183,27.928,37.308,20.51
Ragi,2010,Rabi       ,Andhra Pradesh,5244.0,7725,1297.0,871080.84,1258.56,1.466,27.928,37.308,20.51
Rapeseed &Mustard,2010,Rabi       ,Andhra Pradesh,6922.0,16777,1297.0,1149813.42,1661.28,2.31,27.928,37.308,20.51
Rice,2010,Kharif     ,Andhra Pradesh,2921793.0,7509866,1297.0,485339035.2,701230.32,2.667,27.928,37.308,20.51
Rice,2010,Rabi       ,Andhra Pradesh,1829516.0,6909447,1297.0,303900902.8,439083.84,3.326,27.928,37.308,20.51
Safflower,2010,Rabi       ,Andhra Pradesh,13090.0,8897,1297.0,2174379.9,3141.6,0.705,27.928,37.308,20.51
Sesamum,2010,Kharif     ,Andhra Pradesh,81800.0,13862,1297.0,13587798.0,19632.0,0.178,27.928,37.308,20.51
Sesamum,2010,Rabi       ,Andhra Pradesh,43175.0,12271,1297.0,7171799.25,10362.0,0.291,27.928,37.308,20.51
Small millets,2010,Kharif     ,Andhra Pradesh,28040.0,26648,1297.0,4657724.4,6729.6,0.909,27.928,37.308,20.51
Small millets,2010,Rabi       ,Andhra Pradesh,1263.0,1262,1297.0,209796.93,303.12,0.973,27.928,37.308,20.51
